itemId,name,price,rating
N19019,Noodler's Red Black (3oz Bottled Ink),$12.50,4.5
N19051,Noodler's Borealis Black (3oz Bottled Ink),$12.50,4.5
N19822,Noodler's Bluerase Waterase Ink (4.5oz Bottled Ink) with Free ...,$19.00,4.5
N19048,Noodler's Baystate Blue (3oz Bottled Ink),$12.50,4.5
N19181,Noodler's Hunter (1oz Bottled Ink),$13.50,4.5
N19030,Noodler's La Couleur Royale (3oz Bottled Ink),$12.50,4.5
N19172,Noodler's Lightning Blue (3oz Bottled Ink),$12.50,4.5
N19182,Noodler's Fox (1oz Bottled Ink),$13.50,4.5
N19047,Noodler's Dragon's Napalm (3oz Bottled Ink),$12.50,4.4
N19210,Noodler's Polar Green (3oz Bottled Ink),$12.50,4.4
N19183,Noodler's La Reine Mauve (1oz Bottled Ink),$13.50,4.4
N19817,Noodler's Dragon Catfish Orange (4.5oz Bottled Ink) with Free ...,$21.00,4.4
N19060,Noodler's Bad Blue Heron (3oz Bottled Ink),$12.50,4.4
N19597,Noodler's Empire Red (3oz Bottled Ink),$18.50,4.4
N19208,Noodler's Polar Blue (3oz Bottled Ink),$16.00,4.3
N19173,Noodler's Georgia Peach (3oz Bottled Ink),$12.50,4.3
N19063,Noodler's #41 Brown (3oz Bottled Ink),$12.50,4.3
N19015,Noodler's Green (3oz Bottled Ink),$12.50,4.3
N19816,Noodler's Dragon Catfish Green (4.5oz Bottled Ink) with Free ...,$21.00,4.3
N19812,Noodler's Baystate Concord Grape (4.5oz Bottled Ink) with Free ...,$21.00,4.3
N20002,Noodler's Upper Ganges Blue (3oz Bottled Ink),$18.50,4.2
N19053,Noodler's GI Green (3oz Bottled Ink),$12.50,4.2
N19180,Noodler's Luxury Blue (1oz Bottled Ink),$13.50,4.2
N19067,Noodler's Bernanke Blue (3oz Bottled Ink),$12.50,4.2
N19805,Noodler's Polar Blue (4.5oz Bottled Ink) with Free Pen,$24.00,4.2
N19049,Noodler's Baystate Concord Grape (3oz Bottled Ink),$12.50,4.2
N19066,Noodler's Bernanke Black (3oz Bottled Ink),$12.50,4.2
N19072,Noodler's Qin Shi Huang (3oz Bottled Ink),$12.50,4.1
N19068,Noodler's Blue Nose Bear (3oz Bottled Ink),$12.50,4.1
N19064,Noodler's Bad Green Gator (3oz Bottled Ink),$12.50,4.1
N19008,Noodler's Purple (3oz Bottled Ink),$12.50,4.0
N19898,Noodler's Manjiro Nakahama Whaleman's Sepia (4.5oz Bottled Ink) with ...,$27.50,4.0
N19069,Noodler's Rome Burning (3oz Bottled Ink),$12.50,4.0
N19806,Noodler's Year of the Golden Pig (4.5oz Bottled Ink) ...,$24.00,4.0
N19045,Noodler's Purple Wampum (3oz Bottled Ink),$12.50,4.0
N19058,Noodler's Rabaul Red (3oz Bottled Ink),$12.50,4.0
N19576,Noodler's Rachmaninoff (3oz Bottled Ink),$18.50,3.9
N19820,Noodler's Polar Brown (4.5oz Bottled Ink) with Free Pen,$19.00,3.8
N19044,Noodler's Summer Tanager (3oz Bottled Ink),$12.50,3.6
N19209,Noodler's Polar Brown (3oz Bottled Ink),$12.50,3.5
N19043,Noodler's Concord Bream (3oz Bottled Ink),$12.50,3.4
N19184,Noodler's Periwinkle (1oz Bottled Ink),$13.50,2.8
